strain,file,replicat,wavelength,fn1,fn2,dilution,blanc
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,66.33333333333333
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,68.26785714285714
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,60
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,59.517857142857146
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,58.17857142857143
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,59.89473684210526
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,59.170212765957444
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,74.19642857142857
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,59.19298245614035
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,58.70175438596491
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.089285714285715
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,65.51785714285714
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,64.66101694915254
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.70175438596491
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,64.5
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,78.35714285714286
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,61.70175438596491
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,80.44067796610169
pcc9511,dilution_0.txt,A,e470,193.8783068783069,2.327222180097455,NA,68.44642857142857
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,64
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,66.875
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,71.35087719298245
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,69.51785714285714
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,69.51785714285714
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,71.17857142857143
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,67.42857142857143
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,71.91228070175438
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,67.42857142857143
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,81.10714285714286
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,72.125
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,70.33333333333333
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,68.71428571428571
pcc9511,dilution_0.txt,A,e532,65.08994708994709,1.646193060649426,NA,71.53571428571429
