file,strain,wavelength,fn1,fn2,dilution,blanc
dilution_2.txt,rcc100.csv,e470,352.7809523809524,8.475871658063701,1,67.91071428571429
dilution_2.txt,rcc100.csv,e532,87.72380952380952,4.647775794529542,1,69.51785714285714
dilution_2.txt,rcc1717.csv,e440,158.66666666666666,18.863236251084658,1,87.15178571428571
dilution_2.txt,rcc1717.csv,e470,154,18.005909195523753,1,64.92857142857143
dilution_2.txt,rcc1717.csv,e532,77.02121212121212,2.6639844436411506,1,76.61607142857143
dilution_2.txt,rcc2319.csv,e440,122.06626506024097,1.9200238072030145,1,121.14285714285714
dilution_2.txt,rcc2319.csv,e470,119.51204819277109,2.7363721876196836,1,68.26785714285714
dilution_2.txt,rcc2319.csv,e532,88.87951807228916,1.7779633589396682,1,68.71428571428571
dilution_2.txt,rcc2374.csv,e440,87.34756097560975,1.7217287367308876,1,87.23214285714286
dilution_2.txt,rcc2374.csv,e470,104.35365853658537,2.059673875069661,1,58.17857142857143
dilution_2.txt,rcc2374.csv,e532,93.77439024390245,1.9323726460220925,1,62.892857142857146
dilution_2.txt,rcc2379.csv,e440,153.9551656920078,35.21396564693934,1,84.29824561403508
dilution_2.txt,rcc2379.csv,e470,126.07797270955166,6.610964066009294,1,59.19298245614035
dilution_2.txt,rcc2379.csv,e532,105.07407407407408,16.032144540416756,1,71.42105263157895
dilution_2.txt,rcc3006.csv,e440,150.4268292682927,2.7649448360016105,1,75.17857142857143
dilution_2.txt,rcc3006.csv,e470,163.6158536585366,3.9263142307481558,1,61.089285714285715
dilution_2.txt,rcc3006.csv,e532,75.77439024390245,2.0101772333185166,1,67.46428571428571
dilution_2.txt,rcc4213.csv,e440,187.20805369127515,6.332828441103364,1,90.66371681415929
dilution_2.txt,rcc4213.csv,e470,169.24496644295303,9.279265733763243,1,63.08849557522124
dilution_2.txt,rcc4213.csv,e532,78.77181208053692,2.1761511304009087,1,68.59292035398231
dilution_2.txt,rcc76.csv,e440,184.66937669376694,50.75333743461343,1,111.59482758620689
dilution_2.txt,rcc76.csv,e470,135.43360433604337,31.50744491499254,1,71.23275862068965
dilution_2.txt,rcc76.csv,e532,97.01355013550136,24.525659380918036,1,80.11206896551724
dilution_3.txt,pcc9511.csv,e440,113.3641975308642,38.50748890580672,0.3,77.10714285714286
dilution_3.txt,pcc9511.csv,e470,68.5246913580247,11.00700627831868,0.3,59.69642857142857
dilution_3.txt,pcc9511.csv,e532,75.99382716049382,15.660285560021808,0.3,65.4375
dilution_3.txt,rcc100.csv,e440,212.84590163934425,12.143570610053121,0.3,111.30357142857143
dilution_3.txt,rcc100.csv,e470,221.36393442622952,8.131445475559788,0.3,67.91071428571429
dilution_3.txt,rcc100.csv,e532,78.12459016393443,1.8736974192707534,0.3,69.51785714285714
