strain,file,replicat,wavelength,fn1,fn2,dilution,blanc
pcc9511,dilution_1.txt,A,e440,112.87349397590361,1.744851080723765,NA,83.2280701754386
pcc9511,dilution_1.txt,A,e440,112.87349397590361,1.744851080723765,NA,139
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,58.25
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,61.142857142857146
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,67.91071428571429
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,65.05357142857143
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,64.80357142857143
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,68.26785714285714
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,58.17857142857143
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,59.19298245614035
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,61.089285714285715
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,61.70175438596491
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,64.5
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,61.70175438596491
pcc9511,dilution_1.txt,A,e470,76.37349397590361,1.6603091597723911,NA,80.44067796610169
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,64
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,66.875
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,69.51785714285714
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,81.10714285714286
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,72.125
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,68.71428571428571
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,62.892857142857146
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,71.42105263157895
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,67.46428571428571
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,68.9298245614035
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,68.25
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,68.9298245614035
pcc9511,dilution_1.txt,A,e532,65.96385542168674,1.7646068023356407,NA,90.91525423728814
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,71.375
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,82.83928571428571
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,111.30357142857143
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,92.16071428571429
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,82.14285714285714
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,121.14285714285714
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,87.23214285714286
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,84.29824561403508
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,75.17857142857143
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,83.2280701754386
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,98.23214285714286
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,83.2280701754386
pcc9511,dilution_1.txt,B,e440,311.19900497512435,2.910360631429577,NA,139
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,58.25
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,61.142857142857146
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,67.91071428571429
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,65.05357142857143
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,64.80357142857143
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,68.26785714285714
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,58.17857142857143
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,59.19298245614035
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,61.089285714285715
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,61.70175438596491
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,64.5
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,61.70175438596491
pcc9511,dilution_1.txt,B,e470,194.61194029850745,2.097297479237962,NA,80.44067796610169
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,64
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,66.875
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,69.51785714285714
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,81.10714285714286
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,72.125
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,68.71428571428571
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,62.892857142857146
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,71.42105263157895
pcc9511,dilution_1.txt,B,e532,76.70149253731343,2.0001119371660248,NA,67.46428571428571
