date,time,e440,e470,e532,jsp,replicate,file,second,hms
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-31,14:30:00,139,81,90,535,1,blanc.txt,30,0
2020-10-31,14:30:00,138,81,91,535,1,blanc.txt,31,0
2020-10-31,14:30:00,137,81,91,535,1,blanc.txt,32,0
2020-10-31,14:30:00,140,81,93,535,1,blanc.txt,33,0
2020-10-31,14:30:00,137,82,92,534,1,blanc.txt,34,0
2020-10-31,14:30:00,140,76,93,534,1,blanc.txt,35,0
2020-10-31,14:30:00,139,80,90,534,1,blanc.txt,36,0
2020-10-31,14:30:00,136,78,93,534,1,blanc.txt,37,0
2020-10-31,14:30:00,140,82,91,534,1,blanc.txt,38,0
2020-10-31,14:30:00,140,79,91,534,1,blanc.txt,39,0
2020-10-31,14:30:00,137,81,91,534,1,blanc.txt,40,0
2020-10-31,14:30:00,140,80,91,534,1,blanc.txt,41,0
2020-10-31,14:30:00,138,83,93,534,1,blanc.txt,42,0
2020-10-31,14:30:00,139,81,91,534,1,blanc.txt,43,0
2020-10-31,14:30:00,139,79,90,534,1,blanc.txt,44,0
2020-10-31,14:30:00,140,81,91,534,1,blanc.txt,45,0
2020-10-31,14:30:00,138,79,88,534,1,blanc.txt,46,0
2020-10-31,14:30:00,139,81,92,534,1,blanc.txt,47,0
2020-10-31,14:30:00,143,81,86,534,1,blanc.txt,48,0
2020-10-31,14:30:00,138,82,95,534,1,blanc.txt,49,0
2020-10-31,14:30:00,139,80,89,534,1,blanc.txt,50,0
2020-10-31,14:30:00,143,78,90,534,1,blanc.txt,51,0
2020-10-31,14:30:00,137,81,94,534,1,blanc.txt,52,0
2020-10-31,14:30:00,139,79,89,534,1,blanc.txt,53,0
2020-10-31,14:30:00,139,82,91,534,1,blanc.txt,54,0
2020-10-31,14:30:00,141,81,89,534,1,blanc.txt,55,0
2020-10-31,14:30:00,138,85,90,534,1,blanc.txt,56,0
2020-10-31,14:30:00,139,81,92,534,1,blanc.txt,57,0
2020-10-31,14:30:00,140,82,93,534,1,blanc.txt,58,0
2020-10-31,14:30:00,138,82,93,534,1,blanc.txt,59,0
2020-10-31,14:30:00,818,775,183,538,1,dilution_0.txt,1,0
2020-10-31,14:30:00,826,781,186,537,1,dilution_0.txt,2,0
2020-10-31,14:30:00,822,781,185,537,1,dilution_0.txt,3,0
2020-10-31,14:30:00,824,784,185,537,1,dilution_0.txt,4,0
2020-10-31,14:30:00,830,788,186,537,1,dilution_0.txt,5,0
2020-10-31,14:30:00,835,788,189,537,1,dilution_0.txt,6,0
2020-10-31,14:30:00,827,775,184,537,1,dilution_0.txt,7,0
2020-10-31,14:30:00,823,783,186,537,1,dilution_0.txt,8,0
2020-10-31,14:30:00,832,782,186,537,1,dilution_0.txt,9,0
2020-10-31,14:30:00,841,787,186,536,1,dilution_0.txt,10,0
2020-10-31,14:30:00,827,790,181,536,1,dilution_0.txt,11,0
2020-10-31,14:30:00,817,773,185,536,1,dilution_0.txt,12,0
2020-10-31,14:30:00,820,777,185,536,1,dilution_0.txt,13,0
2020-10-31,14:30:00,827,777,184,536,1,dilution_0.txt,14,0
2020-10-31,14:30:00,840,785,181,536,1,dilution_0.txt,15,0
2020-10-31,14:30:00,828,783,184,536,1,dilution_0.txt,16,0
2020-10-31,14:30:00,806,758,182,536,1,dilution_0.txt,17,0
2020-10-31,14:30:00,808,764,185,536,1,dilution_0.txt,18,0
2020-10-31,14:30:00,827,769,186,536,1,dilution_0.txt,19,0
2020-10-31,14:30:00,824,777,184,536,1,dilution_0.txt,20,0
2020-10-31,14:30:00,810,768,184,536,1,dilution_0.txt,21,0
2020-10-31,14:30:00,821,770,185,536,1,dilution_0.txt,22,0
2020-10-31,14:30:00,827,768,182,536,1,dilution_0.txt,23,0
2020-10-31,14:30:00,828,777,184,536,1,dilution_0.txt,24,0
2020-10-31,14:30:00,819,773,182,535,1,dilution_0.txt,25,0
2020-10-31,14:30:00,812,768,185,536,1,dilution_0.txt,26,0
2020-10-31,14:30:00,820,768,184,535,1,dilution_0.txt,27,0
2020-10-31,14:30:00,818,777,187,535,1,dilution_0.txt,28,0
2020-10-31,14:30:00,828,785,184,535,1,dilution_0.txt,29,0
2020-10-31,14:30:00,804,754,178,535,1,dilution_0.txt,30,0
2020-10-31,14:30:00,816,771,184,535,1,dilution_0.txt,31,0
